yali0,yali1
YALI0_D03333g,YALI1_D04261g
YALI0_D04092g,YALI1_D05111g
YALI0_D04422g,YALI1_D05474g
YALI0_D05819g,YALI1_D07486g
YALI0_D05995g,YALI1_D07665g
YALI0_D06413g,YALI1_D08205g
YALI0_D07634g,YALI1_D09870g
YALI0_D07942g,YALI1_D10197g
YALI0_D08228g,YALI1_D10535g
YALI0_D08382g,YALI1_D10768g
YALI0_D12400g,YALI1_D15424g
YALI0_D13112g,YALI1_D16290g
YALI0_D13970g,YALI1_D17299g
YALI0_D16643g,YALI1_D20473g
YALI0_D20108g,YALI1_D25400g
YALI0_D20768g,YALI1_D26360g
YALI0_D24607g,YALI1_D32568g
YALI0_D25938g,YALI1_D34288g
YALI0_E01056g,YALI1_E01589g
YALI0_E02156g,YALI1_E02678g
YALI0_E04939g,YALI1_E05833g
YALI0_E06413g,YALI1_E07601g
YALI0_E07073g,YALI1_E08382g
YALI0_E07766g,YALI1_E09329g
YALI0_E09493g,YALI1_E11768g
YALI0_E10307g,YALI1_E12987g
YALI0_E10417g,YALI1_E13223g
YALI0_E11099g,YALI1_E13899g
YALI0_E12837g,YALI1_E15804g
YALI0_E13057g,YALI1_E16002g
YALI0_E14102g,YALI1_E17162g
YALI0_E14190g,YALI1_E17214g
YALI0_E14234g,YALI1_E17258g
YALI0_E14256g,YALI1_E17326g
YALI0_E14597g,YALI1_E17574g
YALI0_E14949g,YALI1_E17935g
YALI0_E15378g,YALI1_E18441g
YALI0_E15488g,YALI1_E18539g
YALI0_E15708g,YALI1_E18927g
YALI0_E15840g,YALI1_E19036g
YALI0_E16368g,YALI1_E19603g
YALI0_E16643g,YALI1_E19852g
YALI0_E18238g,YALI1_E21915g
YALI0_E18348g,YALI1_E22041g
YALI0_E20691g,YALI1_E24532g
YALI0_E20713g,YALI1_E24567g
YALI0_E21307g,YALI1_E25400g
YALI0_E22198g,YALI1_E26181g
YALI0_E23991g,YALI1_E28545g
YALI0_E24497g,YALI1_E29179g
YALI0_E27291g,YALI1_E32315g
YALI0_E29161g,YALI1_E34425g
