ids,conc
P53290,1.53E-06
P53292,6.02E-07
P53299,3.76E-07
P53305,1.13E-07
P53312,4.41E-06
P53326,1.87E-07
P53331,1.64E-07
P53334,9.82E-07
P53549,8.16E-06
P53550,1.74E-07
P53598,1.12E-05
P53600,5.40E-06
P53615,2.27E-06
P53629,3.26E-07
P53630,4.48E-07
P53633,2.12E-05
P53720,7.25E-08
P53723,2.49E-06
P53729,6.34E-08
P53731,6.69E-06
P53736,8.60E-07
P53742,3.90E-07
P53743,6.86E-08
P53753,5.03E-07
P53834,2.85E-06
P53843,3.26E-07
P53847,1.69E-05
P53853,2.75E-07
P53860,9.56E-07
P53868,3.97E-07
P53875,3.71E-07
P53877,2.24E-07
P53878,8.88E-07
P53883,7.33E-07
P53885,6.89E-07
P53890,3.34E-08
P53893,2.43E-07
P53903,1.72E-06
P53905,1.54E-06
P53909,4.01E-07
P53920,5.17E-07
P53925,4.25E-07
P53927,8.76E-07
P53929,2.52E-07
P53959,1.68E-08
P53960,4.33E-07
P53969,1.10E-07
P53981,4.04E-06
P54113,2.75E-06
P54114,2.29E-07
P54115,0.000106196
P54730,7.80E-08
P54781,1.42E-06
P54838,1.89E-06
P54839,1.03E-05
P54858,4.58E-07
P54861,4.23E-06
P56628,7.03E-06
P57743,5.56E-06
P60010,5.61E-05
P69771,2.46E-06
P80210,1.72E-05
P80235,4.33E-06
P87262,1.59E-05
P89886,2.39E-06
Q00245,2.53E-06
Q00362,4.94E-07
Q00582,1.02E-07
Q00618,9.46E-08
Q00764,9.60E-06
Q00772,2.71E-07
Q01163,3.16E-08
Q01217,1.30E-05
Q01454,3.59E-08
Q01560,5.74E-06
Q01590,3.27E-07
Q01802,2.09E-07
Q01855,1.15E-05
Q01976,6.54E-07
Q02046,2.14E-06
Q02196,1.93E-05
Q02199,4.98E-07
Q02204,7.99E-08
Q02256,2.87E-07
Q02260,4.13E-07
Q02326,1.14E-05
Q02629,3.37E-07
Q02642,1.57E-05
Q02647,8.62E-07
Q02754,8.05E-08
Q02773,1.48E-08
Q02774,1.48E-07
Q02776,1.84E-06
Q02784,8.65E-06
Q02793,2.35E-07
Q02821,6.85E-07
Q02884,4.28E-08
Q02908,2.97E-07
Q02931,5.31E-08
Q02932,1.06E-06
Q02979,3.17E-08
Q03010,3.52E-07
Q03103,6.76E-07
Q03124,2.87E-07
Q03144,8.68E-07
Q03148,1.17E-06
Q03195,3.51E-06
Q03219,9.36E-07
Q03266,2.79E-07
Q03327,2.62E-07
Q03330,7.23E-08
Q03362,1.12E-06
Q03429,1.25E-06
Q03435,1.02E-07
Q03532,4.61E-07
Q03629,1.68E-06
Q03690,2.92E-06
Q03705,1.43E-06
Q03713,2.54E-06
Q03761,1.25E-08
Q03768,1.72E-06
Q03769,4.08E-07
Q03774,6.11E-07
Q03784,9.78E-07
Q03786,1.25E-06
Q03790,2.34E-07
Q03799,1.52E-07
Q03834,8.65E-08
Q03862,1.05E-06
Q03940,2.38E-06
Q03941,5.21E-07
Q04031,6.68E-08
Q04066,5.80E-07
Q04081,2.73E-07
Q04120,1.43E-06
Q04212,5.96E-07
Q04223,3.10E-07
Q04225,5.94E-07
Q04344,1.64E-05
Q04372,4.56E-08
Q04430,7.25E-07
Q04432,1.08E-05
Q04458,5.82E-06
Q04472,1.53E-07
Q04491,1.10E-05
Q04493,6.46E-07
Q04599,5.92E-07
Q04600,1.87E-07
Q04689,3.32E-07
Q04697,9.14E-06
Q04728,3.36E-06
Q04772,4.04E-07
Q04773,6.40E-06
Q04894,7.85E-06
Q04934,2.35E-07
Q04969,1.30E-06
Q05016,1.13E-05
Q05022,1.32E-06
Q05123,9.44E-07
Q05359,1.72E-07
Q05506,6.75E-06
Q05515,1.91E-06
Q05584,1.18E-06
Q05636,1.02E-06
Q05785,2.90E-07
Q05788,2.44E-06
Q05791,1.84E-06
Q05874,1.13E-06
Q05881,4.46E-07
Q05892,5.23E-07
Q05900,2.60E-07
Q05905,9.90E-06
Q05911,4.10E-05
Q05926,6.11E-06
Q05933,2.25E-06
Q05946,1.36E-07
Q05949,6.36E-08
Q05979,5.76E-07
Q06090,1.94E-07
Q06103,1.03E-06
Q06107,4.89E-07
Q06137,2.06E-07
Q06151,7.00E-06
Q06168,1.61E-08
Q06188,1.26E-07
Q06217,1.59E-06
Q06338,1.78E-06
Q06405,3.65E-06
Q06408,1.62E-07
Q06440,1.65E-06
Q06493,2.50E-07
Q06497,1.38E-07
Q06504,3.23E-07
Q06508,2.84E-07
Q06511,8.32E-07
Q06512,8.83E-08
Q06523,3.11E-07
Q06608,3.08E-06
Q06624,9.84E-07
Q06630,1.07E-06
Q06631,5.54E-07
Q06639,1.91E-07
Q06672,3.93E-07
Q06678,4.59E-07
Q06679,9.76E-08
Q06696,6.17E-08
Q06697,6.26E-07
Q06706,6.51E-07
Q06839,2.61E-08
Q07362,1.22E-08
Q07395,4.36E-07
Q07451,1.13E-06
Q07478,5.87E-06
Q07528,9.50E-09
Q07532,1.72E-07
Q07551,5.06E-05
Q07623,6.92E-07
Q07688,2.01E-06
Q07716,7.49E-07
Q07897,1.54E-06
Q07953,7.23E-07
Q07979,2.06E-07
Q08045,1.71E-07
Q08096,1.01E-06
Q08162,2.41E-07
Q08202,1.87E-06
Q08230,6.57E-07
Q08412,5.00E-07
Q08448,9.77E-08
Q08492,4.23E-07
Q08601,1.50E-06
Q08645,5.21E-07
Q08685,1.11E-07
Q08689,1.78E-06
Q08746,1.03E-06
Q08826,1.33E-07
Q08924,7.85E-08
Q08925,2.82E-07
Q08951,1.96E-07
Q08954,4.32E-07
Q08960,6.00E-08
Q08961,1.21E-07
Q08971,1.39E-05
Q08977,2.09E-06
Q12009,7.97E-07
Q12017,1.29E-07
Q12024,6.31E-07
Q12028,6.99E-07
Q12029,2.60E-06
Q12030,3.16E-08
Q12055,1.86E-07
Q12068,6.04E-06
Q12091,9.27E-07
Q12099,1.90E-07
Q12109,1.38E-06
Q12122,2.28E-05
Q12125,2.57E-06
Q12154,9.24E-06
Q12155,1.59E-07
Q12159,8.30E-07
Q12165,2.35E-05
Q12166,1.59E-07
Q12181,1.62E-07
Q12189,2.91E-06
Q12199,6.48E-07
Q12211,9.65E-07
Q12213,7.69E-05
Q12220,7.64E-08
Q12233,6.26E-07
Q12242,6.16E-07
Q12250,2.06E-06
Q12255,3.46E-06
Q12270,8.75E-07
Q12271,3.15E-07
Q12272,2.37E-07
Q12273,4.39E-08
Q12283,5.44E-07
Q12285,5.15E-06
Q12298,6.24E-07
Q12305,1.04E-06
Q12306,2.37E-06
Q12314,2.56E-06
Q12324,3.21E-07
Q12341,1.87E-07
Q12349,3.96E-06
Q12354,1.27E-06
Q12363,1.25E-05
Q12374,1.90E-07
Q12377,6.35E-06
Q12383,1.47E-07
Q12386,5.55E-07
Q12387,1.22E-07
Q12389,9.14E-08
Q12400,4.55E-09
Q12402,1.03E-05
Q12406,1.03E-06
Q12408,7.39E-07
Q12428,2.78E-06
Q12447,1.89E-05
Q12449,7.81E-06
Q12450,2.68E-07
Q12452,2.26E-06
Q12455,4.91E-07
Q12458,1.85E-06
Q12460,1.08E-05
Q12463,3.50E-07
Q12464,4.01E-06
Q12480,1.35E-06
Q12486,1.96E-06
Q12487,1.84E-07
Q12499,5.79E-06
Q12500,2.78E-07
Q12504,1.21E-07
Q12517,8.97E-07
Q12522,7.44E-07
Q12676,2.74E-07
Q12690,7.39E-07
Q12692,8.87E-07
Q12746,1.14E-06
Q3E705,4.15E-07
Q3E764,9.11E-07
Q3E772,6.95E-07
Q3E793,3.35E-07
Q3E7A4,2.66E-07
Q3E846,6.22E-07
Q6Q546,1.11E-07
Q6Q547,1.12E-07
Q86ZR7,1.69E-06
Q92331,4.26E-08
Q96VH4,2.58E-06
Q99189,3.78E-07
Q99207,1.19E-07
Q99210,1.17E-07
Q99216,1.26E-07
Q99257,1.12E-06
Q99258,2.81E-05
Q99260,2.94E-08
Q99287,1.21E-06
Q99288,9.10E-08
Q99297,2.30E-06
Q99316,6.12E-07
Q99344,2.51E-07
Q99369,1.26E-06
Q99394,4.37E-07
